Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of the skeletal system	HP:0009957	Complete duplication of the phalanges of the 2nd finger	A complete duplication affecting one or more of the phalanges of the 2nd finger. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accesory bone appearing in the proximo-distal axis on x-rays, is a different entity called a Pseudoepiphyses (see according terms) sometimes also refered to as Hyperphalangism.	Duplicación completa de las falanges del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0010429	Complete duplication of the phalanges of the 2nd toe	Complete duplication of a `phalanx of second toe` (FMA:32899).	Duplicación completa de las falanges del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009960	Complete duplication of the phalanges of the 3rd finger	A complete duplication affecting one or more of the phalanges of the 3rd finger. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accesory bone appearing in the proximo-distal axis on x-rays, this is actually a different entity called a Pseudoepiphyses (see according terms) sometimes also refered to as Hyperphalangism.	Duplicación completa de las falanges del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0009973	Complete duplication of the phalanges of the 4th finger	A complete duplication affecting one or more of the phalanges of the 4th finger. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accesory bone appearing in the proximo-distal axis on x-rays, this is actually a different entity called a Pseudoepiphyses (see according terms) sometimes also refered to as Hyperphalangism.	Duplicación completa de las falanges del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0009986	Complete duplication of the phalanges of the 5th finger	A complete duplication affecting one or more of the phalanges of the 5th finger. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accesory bone appearing in the proximo-distal axis on x-rays, this is actually a different entity called a Pseudoepiphyses (see according terms) sometimes also refered to as Hyperphalangism.	Duplicación completa de las falanges del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0010000	Complete duplication of the proximal phalanges of the hand	A complete duplication affecting one or more of the proximal phalanges of the hand. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accesory bone appearing in the proximo-distal axis on x-rays, this is actually a different entity called a Pseudoepiphyses (see according terms) sometimes also refered to as Hyperphalangism.	Duplicación completa de las falanges proximales de la mano	
Abnormality of the skeletal system	HP:0009954	Complete duplication of the proximal phalanx of the 2nd finger	Complete duplication of the `Second proximal phalanx of hand` (FMA:23919).	Duplicación completa de la falange proximal del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0010422	Complete duplication of the proximal phalanx of the 2nd toe	Complete duplication of `proximal phalanx of second toe` (FMA:32618).	Duplicación completa de la falange proximal del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009967	Complete duplication of the proximal phalanx of the 3rd finger	Complete duplication of the `third proximal phalanx of hand` (FMA:23920).	Duplicación completa de la falange proximal del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0100413	Complete duplication of the proximal phalanx of the 3rd toe	Partial or complete duplication of `proximal phalanx of third toe` (FMA:32619).	Duplicación completa de la falange proximal del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009980	Complete duplication of the proximal phalanx of the 4th finger	Complete duplication of the `fourth proximal phalanx of hand` (FMA:23921).	Duplicación completa de la falange proximal del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0100414	Complete duplication of the proximal phalanx of the 4th toe		Duplicación completa de la falange proximal del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0009993	Complete duplication of the proximal phalanx of the 5th finger	Complete duplication of the `fifth proximal phalanx of hand` (FMA:23922).	Duplicación completa de la falange proximal del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0100415	Complete duplication of the proximal phalanx of the 5th toe	Complete duplication of the `proximal phalanx of fifth toe` (FMA:32621).	Duplicación completa de la falange proximal del quinto dedo del pie	
Abnormality of the skeletal system	HP:0010094	Complete duplication of the proximal phalanx of the hallux	Complete duplication of the `proximal phalanx of big toe` (FMA:43252).	Duplicación completa de la falange proximal del dedo gordo del pie	
Abnormality of the skeletal system	HP:0009943	Complete duplication of thumb phalanx	A complete duplication affecting one or more of the phalanges of the thumb. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accesory bone appearing in the proximo-distal axis on x-rays, this is actually a different entity called a Pseudoepiphyses (see according terms) sometimes also refered to as Hyperphalangism.	Duplicación completa de la falange del pulgar	
Abnormality of the skeletal system	HP:0007602	Complex palmar dermatoglyphic pattern		Patrón dermatoglífico palmar complejo	
Abnormality of the skeletal system	HP:0008789	Cone-shaped capital femoral epiphysis	A cone-shaped deformity of the `proximal epiphysis of the femur` (FMA:32841).	Cabeza femoral con forma de cono	
Abnormality of the skeletal system	HP:0005066	Cone-shaped epiphyses fused within their metaphyses		Epífisis en forma de cono fusionadas dentro de sus metáfisis	
Abnormality of the skeletal system	HP:0006035	Cone-shaped epiphyses of phalanges 2 to 5		Epífisis en forma de cono de falanges 2-5 de la mano	
Abnormality of the skeletal system	HP:0009490	Cone-shaped epiphyses of the 2nd finger	A cone-shaped appearance of the epiphyses of the 2nd finger of the hand, producing a 'ball-in-a-socket' appearance. The related entity 'angel-shaped' epiphysis refers to a pronounced cone-shaped epiphysis in combination with a pseudoepiphysis at the distal end of a phalanx.	Epífisis en forma de cono del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0100046	Cone-shaped epiphyses of the 2nd toe		Epífisis en forma de cono del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009412	Cone-shaped epiphyses of the 3rd finger	A cone-shaped appearance of the epiphyses of the 3rd finger of the hand, producing a 'ball-in-a-socket' appearance. The related entity 'angel-shaped' epiphysis refers to a pronounced cone-shaped epiphysis in combination with a pseudoepiphysis at the distal end of a phalanx.	Epífisis en forma de cono del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0100057	Cone-shaped epiphyses of the 3rd toe		Epífisis en forma de cono del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009395	Cone-shaped epiphyses of the 4th finger	A cone-shaped appearance of the epiphyses of the 4th finger of the hand, producing a 'ball-in-a-socket' appearance. The related entity 'angel-shaped' epiphysis refers to a pronounced cone-shaped epiphysis in combination with a pseudoepiphysis at the distal end of a phalanx.	Epífisis en forma de cono del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0100068	Cone-shaped epiphyses of the 4th toe		Epífisis en forma de cono del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0009384	Cone-shaped epiphyses of the 5th finger	A cone-shaped appearance of the epiphyses of the 5th finger of the hand, producing a 'ball-in-a-socket' appearance. The related entity 'angel-shaped' epiphysis refers to a pronounced cone-shaped epiphysis in combination with a pseudoepiphysis at the distal end of a phalanx.	Epífisis en forma de cono del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0100079	Cone-shaped epiphyses of the 5th toe		Epífisis en forma de cono del quinto dedo del pie	
Abnormality of the skeletal system	HP:0010248	Cone-shaped epiphyses of the distal phalanges of the hand		Epífisis en forma de cono de las falanges distales de la mano	
Abnormality of the skeletal system	HP:0010115	Cone-shaped epiphyses of the hallux		Epífisis en forma de cono del dedo gordo del pie	
Abnormality of the skeletal system	HP:0010259	Cone-shaped epiphyses of the middle phalanges of the hand		Epífisis en forma de cono de las falanges medias de la mano	
Abnormality of the skeletal system	HP:0010230	Cone-shaped epiphyses of the phalanges of the hand	A cone-shaped appearance of the epiphyses of the fingers of the hand, producing a 'ball-in-a-socket' appearance. The related entity 'angel-shaped' epiphysis refers to a pronounced cone-shaped epiphysis in combination with a pseudoepiphysis at the distal end of a phalanx.	Epífisis en forma de cono de las falanges de la mano	
Abnormality of the skeletal system	HP:0010270	Cone-shaped epiphyses of the proximal phalanges of the hand		Epífisis en forma de cono de las falanges proximales de la mano	
Abnormality of the skeletal system	HP:0010164	Cone-shaped epiphyses of the toes		Epífisis en forma de cono de los dedos de los pies	
Abnormality of the skeletal system	HP:0010579	Cone-shaped epiphysis	Cone-shaped epiphyses (also known as coned epiphyses) are epiphyses that invaginate into cupped metaphyses. That is, the epiphysis has a cone-shaped distal extension resulting from increased growth of the central portion of the epiphysis relative to its periphery.	Epífisis en forma de cono	
